name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	lfcShrink	Domain	Phylum	Class	Order	Family	Genus
DENOVO99	32.3108999921944	-3.14518985560219	1.04999191808147	-2.99544196620963	0.002740474438797	0.018987572897378	-1.65734987323493	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Dermabacteraceae	Brachybacterium
DENOVO107	71.3114126807441	-4.35002940659045	1.02863439250885	-4.22893638232403	2.34798723299557E-05	0.000569386904001	-3.74798109646843	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc
DENOVO215	124.887622852631	-2.49363958644575	0.963804919535783	-2.58728663436042	0.009673508503064	0.044682396418916	-1.29118850344656	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
DENOVO19	1129.22594033096	5.31008735942744	0.778854426795214	6.81781752371503	9.24339434927674E-12	8.96609251879844E-10	4.86983668844856	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma
DENOVO15	323.333076521876	2.60756833070834	0.669215306301772	3.89645650085072	9.76103291541888E-05	0.001893640385591	2.21843930432341	Bacteria	Tenericutes	Mollicutes	Entomoplasmatales	Entomoplasmataceae	Mesoplasma
DENOVO89	74.1226711489342	-2.75531011453869	0.914420391257692	-3.01317658801226	0.002585284349638	0.018987572897378	-1.71232167300397	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Peptoniphilus
DENOVO137	61.6384524300413	-2.77544428978268	1.03989815551348	-2.66895779655675	0.007608701009672	0.040407745437786	-1.12736082982299	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae sedis X1	Anaerococcus
DENOVO94	40.942454447979	-3.41144456736549	1.12454756996825	-3.03361516975383	0.002416424568433	0.018987572897378	-2.09399328727892	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae sedis X2	Finegoldia
DENOVO146	182.120029682725	-2.43261007734618	0.892507285073271	-2.72559128427335	0.006418642490015	0.038611790072163	-1.4579672738022	Bacteria	Candidatus Saccharibacteria	Saccharibacteria_genera_IS	Saccharibacteria_genera_IS	Saccharibacteria_genera_IS	Saccharibacteria_genera_IS

